Object ID,Ticket Number,Citation Issue Date,Citaton Issue Month,Citation Issue Time,Location,Violation Code,Violation,Fine Amount,Citation Status,Amount Paid,Amount Due,Suspend Code,Suspend Process Date,Suspend Until Date,Disposition Code,Last Edited Date,Geom
3365,780238303,6/18/2010,,17:30,709 O'FARRELL ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,730 730TRNLN,06/23/2010 12:00:00 AM +0000,07/14/2010 12:00:00 AM +0000,25 OFCR ERROR,,"(37.7852907937, -122.416434471)"
3366,780238314,6/20/2010,,13:42,688 GEARY ST,V22500I,BUS ZONE,255,Closed, $                     -,0,730 730TRNLN,06/24/2010 12:00:00 AM +0000,07/15/2010 12:00:00 AM +0000,25 OFCR ERROR,,"(37.7866189353, -122.414626445)"
3367,780238325,6/20/2010,,15:36,508 GEARY ST,V22500I,BUS ZONE,255,Closed, $                     -,0,803 803ELIGREF,08/23/2010 12:00:00 AM +0000,11/21/2010 12:00:00 AM +0000,1 RU RV UPHD,,"(37.7869920366, -122.411702252)"
3368,780238336,6/20/2010,,18:45,227 OFARRELL ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,730 730TRNLN,06/24/2010 12:00:00 AM +0000,07/15/2010 12:00:00 AM +0000,25 OFCR ERROR,,"(37.7862828765, -122.408543794)"
3369,785637543,9/29/2010,,17:28,947 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,731 731MP EXP,10/11/2010 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7818388192, -122.407506773)"
3370,785637554,9/29/2010,,17:29,931 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,22 22 GEN VAL,11/30/2010 12:00:00 AM +0000,12/21/2010 12:00:00 AM +0000, ,,"(37.782086159, -122.407193564)"
3371,785637565,9/29/2010,,17:29,925 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/02/2010 12:00:00 AM +0000,10/23/2010 12:00:00 AM +0000, ,,"(37.7821112931, -122.407161737)"
3372,779775684,9/30/2010,,08:49,1177 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.777811218, -122.412606536)"
3373,779775695,9/30/2010,,08:49,1175 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,731 731MP EXP,10/12/2010 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7778457576, -122.412562804)"
3374,779775710,9/30/2010,,08:50,1079 MISSION ST,T32A.1,TWAWY ZN#1,85,Open, $                     -,175,22 22 GEN VAL,11/29/2010 12:00:00 AM +0000,12/20/2010 12:00:00 AM +0000, ,,"(37.7795582341, -122.41039456)"
3375,779775721,9/30/2010,,08:50,985 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$145.00 ,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7811979604, -122.408318287)"
3376,779775732,9/30/2010,,08:50,961 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7816027147, -122.407805753)"
3377,779775743,9/30/2010,,08:54,689 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7863800938, -122.401755222)"
3378,779775754,9/30/2010,,15:05,591 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7880741568, -122.399609919)"
3379,779775765,9/30/2010,,17:01,1081 MISSION ST,T32A.1,TWAWY ZN#1,85,Open, $                     -,185,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7795244806, -122.410437299)"
3380,779775776,9/30/2010,,17:03,963 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,87 87 HR DNVO,02/16/2011 12:00:00 AM +0000,05/17/2011 12:00:00 AM +0000,202 HR DN NTPD,,"(37.7815689856, -122.407848464)"
3381,785637576,9/30/2010,,16:23,58 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,22 22 GEN VAL,11/29/2010 12:00:00 AM +0000,12/20/2010 12:00:00 AM +0000, ,,"(37.7879215009, -122.404414923)"
3382,785637580,9/30/2010,,16:23,28 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7879795437, -122.403959719)"
3383,785637591,9/30/2010,,16:27,454 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000,40 INTOFJUST,,"(37.7871070651, -122.410800584)"
3384,785637613,9/30/2010,,16:27,352 GEARY ST,T32A.1,TWAWY ZN#1,85,Open, $                     -,185,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7873208411, -122.409124727)"
3385,785637624,9/30/2010,,16:28,642 GEARY ST,T32A.1,TWAWY ZN#1,85,Open, $                     -,175,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7867115613, -122.413900541)"
3386,785637635,9/30/2010,,16:28,648 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7866994796, -122.413995224)"
3387,785637646,9/30/2010,,16:29,744 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,83 83 PEND HE,12/08/2010 12:00:00 AM +0000,06/06/2011 12:00:00 AM +0000,6 HD HR DNID,,"(37.7864977551, -122.415576074)"
3388,785637650,9/30/2010,,16:31,946 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/05/2010 12:00:00 AM +0000,10/26/2010 12:00:00 AM +0000, ,,"(37.7860756634, -122.41889272)"
3389,788861463,12/28/2010,,14:38,593 O'FARRELL ST,V22500I,BUS ZONE,255,Open, $                     -,345,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7855376886, -122.414472654)"
3390,788861474,12/28/2010,,16:27,269 O'FARRELL ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,83 83 PEND HE,02/10/2011 12:00:00 AM +0000,08/09/2011 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7861962891, -122.409232823)"
3391,790914202,12/30/2010,,09:37,850 SUTTER ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,15 15 DBL PRK,01/26/2011 12:00:00 AM +0000,02/16/2011 12:00:00 AM +0000, ,,"(37.7885637307, -122.414406116)"
3392,790914224,12/30/2010,,11:53,935 POST ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7870992763, -122.417292177)"
3393,790914235,12/30/2010,,11:53,943 POST ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7870843584, -122.417409668)"
3394,790914246,12/30/2010,,12:13,954 SUTTER ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7883455168, -122.416111949)"
3395,790914250,12/30/2010,,12:13,950 SUTTER ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7883535749, -122.416048954)"
3396,790914261,12/30/2010,,12:16,1206 SUTTER ST,V22500I,BUS ZONE,255,Closed,$255.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7878110868, -122.420286732)"
3397,790914272,12/30/2010,,13:13,591 POST ST,V22500I,BUS ZONE,255,Closed,$255.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7878316962, -122.411523402)"
3398,790914283,12/30/2010,,13:30,586 SUTTER ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,15 15 DBL PRK,01/23/2011 12:00:00 AM +0000,02/13/2011 12:00:00 AM +0000,6 HD HR DNID,,"(37.7891193945, -122.410030298)"
3399,790914294,12/30/2010,,14:56,1208 SUTTER ST,V22500I,BUS ZONE,255,Closed,$255.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7878070873, -122.420318231)"
3400,790914305,12/30/2010,,15:51,591 POST ST,V22500I,BUS ZONE,255,Closed,$255.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7878316962, -122.411523402)"
3401,790914316,12/30/2010,,16:16,1206 SUTTER ST,V22500I,BUS ZONE,255,Closed,$255.00 ,0,730 730TRNLN,01/04/2011 12:00:00 AM +0000,01/25/2011 12:00:00 AM +0000, ,,"(37.7878110868, -122.420286732)"
3402,790914331,1/1/2011,,11:12,423 O'FARRELL ST,V22500H,DBL PARK,80,Closed,$180.00 ,0,730 730TRNLN,01/06/2011 12:00:00 AM +0000,01/27/2011 12:00:00 AM +0000, ,,"(37.7858837735, -122.411719439)"
3403,790914342,1/1/2011,,16:11,914 GEARY ST,V22500H,DBL PARK,80,Closed,$140.00 ,0,730 730TRNLN,01/06/2011 12:00:00 AM +0000,01/27/2011 12:00:00 AM +0000, ,,"(37.7861395486, -122.418386075)"
3404,790914353,1/3/2011,,08:52,459 O'FARRELL ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,22 22 GEN VAL,02/03/2011 12:00:00 AM +0000,02/24/2011 12:00:00 AM +0000, ,,"(37.7858074798, -122.412326428)"
3405,790914364,1/3/2011,,08:51,515 O'FARRELL ST,T32A.2,TWAWY ZONE,75,Open, $                  -,175,730 730TRNLN,01/07/2011 12:00:00 AM +0000,01/28/2011 12:00:00 AM +0000, ,,"(37.7856926407, -122.413240024)"
3406,780239946,7/19/2010,,17:43,654 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,07/24/2010 12:00:00 AM +0000,08/14/2010 12:00:00 AM +0000, ,,"(37.7871242681, -122.401058382)"
3407,780239950,7/19/2010,,17:18,1718 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,07/24/2010 12:00:00 AM +0000,08/14/2010 12:00:00 AM +0000, ,,"(37.7697322349, -122.420254464)"
3408,780239961,7/19/2010,,17:18,395 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,22 22 GEN VAL,09/08/2010 12:00:00 AM +0000,09/29/2010 12:00:00 AM +0000, ,,"(37.7904645795, -122.396581993)"
3409,780239972,7/19/2010,,17:41,344 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,07/24/2010 12:00:00 AM +0000,08/14/2010 12:00:00 AM +0000, ,,"(37.790893686, -122.396283773)"
3410,780239994,7/19/2010,,17:50,1150 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,07/24/2010 12:00:00 AM +0000,08/14/2010 12:00:00 AM +0000, ,,"(37.778373714, -122.412139623)"
3411,780240005,7/19/2010,,17:52,1388 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,213 HR REQ REC,10/11/2010 12:00:00 AM +0000,01/09/2011 12:00:00 AM +0000,6 HD HR DNID,,"(37.7754282952, -122.415852717)"
3412,782556014,7/19/2010,,17:52,1364 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$65.00 ,0,121 121 OFFCAL,01/10/2011 12:00:00 AM +0000,01/10/2011 12:00:00 AM +0000,20 PROJECT 20,,"(37.7756507085, -122.415571759)"
3413,779775975,10/11/2010,,16:39,424 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,731 731MP EXP,02/11/2015 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7871673305, -122.410328162)"
3414,779775986,10/11/2010,,16:40,560 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,731 731MP EXP,10/23/2010 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7868804155, -122.412577143)"
3415,785234015,10/11/2010,,16:45,970 GEARY ST,T32A.2,TWAWY ZONE,75,Open,$75.00 ,90,730 730TRNLN,10/14/2010 12:00:00 AM +0000,11/04/2010 12:00:00 AM +0000, ,,"(37.7860277484, -122.419272703)"
3416,785234026,10/11/2010,,12:11,294 GEARY ST,V22500H,DBL PARK,80,Closed,$140.00 ,0,6 6 EXP TIME,12/30/2010 12:00:00 AM +0000,12/30/2010 12:00:00 AM +0000, ,,"(37.7874462171, -122.408141771)"
3417,786994235,10/11/2010,,16:49,174 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0, ,,, ,,"(37.7876920927, -122.406213912)"
3418,786994246,10/11/2010,,16:49,156 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/14/2010 12:00:00 AM +0000,11/04/2010 12:00:00 AM +0000, ,,"(37.787726187, -122.405946561)"
3419,786994250,10/11/2010,,16:53,662 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/14/2010 12:00:00 AM +0000,11/04/2010 12:00:00 AM +0000, ,,"(37.7866712903, -122.414216151)"
3420,786994261,10/11/2010,,16:52,456 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,731 731MP EXP,10/23/2010 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7871030474, -122.41083208)"
3421,786994283,10/11/2010,,16:52,488 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,912 912DIFMAKE,01/14/2011 12:00:00 AM +0000,03/15/2011 12:00:00 AM +0000,555 MAKE MISM,,"(37.7870387613, -122.411335996)"
3422,786994294,10/11/2010,,16:53,534 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,731 731MP EXP,10/23/2010 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.786936146, -122.412140332)"
3423,786994305,10/11/2010,,16:56,938 GEARY ST,T32A.1,TWAWY ZN#1,85,Open, $                     -,175,730 730TRNLN,10/14/2010 12:00:00 AM +0000,11/04/2010 12:00:00 AM +0000, ,,"(37.7860916344, -122.418766058)"
3424,786994316,10/11/2010,,16:56,960 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,912 912DIFMAKE,01/14/2011 12:00:00 AM +0000,03/15/2011 12:00:00 AM +0000,555 MAKE MISM,,"(37.7860477128, -122.419114377)"
3425,786994320,10/11/2010,,16:56,972 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,50 50 DP RU,12/12/2010 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7860237555, -122.419304369)"
3426,786994331,10/11/2010,,16:56,982 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$145.00 ,0,730 730TRNLN,10/14/2010 12:00:00 AM +0000,11/04/2010 12:00:00 AM +0000, ,,"(37.7860037901, -122.419462694)"
3427,786994342,10/11/2010,,11:46,670 GEARY ST,V22500H,DBL PARK,80,Closed, $                     -,0,730 730TRNLN,10/14/2010 12:00:00 AM +0000,11/04/2010 12:00:00 AM +0000,25 OFCR ERROR,,"(37.7866551816, -122.414342397)"
3428,786994353,10/11/2010,,09:47,884 GEARY ST,T32A.2,TWAWY ZONE,75,Closed,$75.00 ,0,730 730TRNLN,10/14/2010 12:00:00 AM +0000,11/04/2010 12:00:00 AM +0000, ,,"(37.7862080868, -122.417845801)"
3429,786994364,10/11/2010,,09:48,990 GEARY ST,T32A.2,TWAWY ZONE,75,Closed,$140.00 ,0,730 730TRNLN,10/14/2010 12:00:00 AM +0000,11/04/2010 12:00:00 AM +0000,700 RA PEN1,,"(37.7859878182, -122.419589355)"
3430,786994386,10/13/2010,,08:34,681 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$110.00 ,0,730 730TRNLN,10/16/2010 12:00:00 AM +0000,11/06/2010 12:00:00 AM +0000, ,,"(37.7865061721, -122.401595648)"
3431,786994390,10/13/2010,,08:30,949 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/16/2010 12:00:00 AM +0000,11/06/2010 12:00:00 AM +0000, ,,"(37.7818050911, -122.407549485)"
3432,786994401,10/13/2010,,08:30,961 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed, $                     -,0,731 731MP EXP,10/25/2010 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7816027147, -122.407805753)"
3433,786994412,10/13/2010,,08:30,989 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/16/2010 12:00:00 AM +0000,11/06/2010 12:00:00 AM +0000, ,,"(37.7811305017, -122.408403708)"
3434,786994434,10/15/2010,,10:53,908 GEARY ST,V22500I,BUS ZONE,255,Closed,$285.00 ,0,730 730TRNLN,10/21/2010 12:00:00 AM +0000,11/11/2010 12:00:00 AM +0000, ,,"(37.7861515265, -122.418291078)"
3435,786994445,10/15/2010,,10:53,988 GEARY ST,T32A.2,TWAWY ZONE,75,Closed, $                     -,0,731 731MP EXP,10/27/2010 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7859918112, -122.41955769)"
3436,786994552,10/17/2010,,08:31,949 MISSION ST,T32A.1,TWAWY ZN#1,85,Open, $                     -,185,730 730TRNLN,10/21/2010 12:00:00 AM +0000,11/11/2010 12:00:00 AM +0000, ,,"(37.7818050911, -122.407549485)"
3437,786994563,10/17/2010,,16:44,1231 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,213 HR REQ REC,01/17/2011 12:00:00 AM +0000,04/17/2011 12:00:00 AM +0000,6 HD HR DNID,,"(37.7769506867, -122.413696035)"
3438,786994574,10/17/2010,,16:46,1071 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/21/2010 12:00:00 AM +0000,11/11/2010 12:00:00 AM +0000, ,,"(37.7796932498, -122.410223605)"
3439,786994585,10/17/2010,,17:15,524 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,10/21/2010 12:00:00 AM +0000,11/11/2010 12:00:00 AM +0000, ,,"(37.789358489, -122.398228449)"
3440,786994456,10/18/2010,,08:56,176 GEARY ST,V22500H,DBL PARK,80,Closed,$140.00 ,0,730 730TRNLN,10/21/2010 12:00:00 AM +0000,11/11/2010 12:00:00 AM +0000, ,,"(37.7876883044, -122.406243618)"
3441,786994460,10/18/2010,,15:25,690 GEARY ST,V22500I,BUS ZONE,255,Open, $                     -,310,730 730TRNLN,10/21/2010 12:00:00 AM +0000,11/11/2010 12:00:00 AM +0000, ,,"(37.7866149085, -122.414658007)"
3442,786994471,10/18/2010,,17:37,68 GEARY ST,T32A.1,TWAWY ZN#1,85,Open, $                     -,185,22 22 GEN VAL,12/12/2010 12:00:00 AM +0000,01/02/2011 12:00:00 AM +0000, ,,"(37.7879021521, -122.404566657)"
3443,790915952,2/9/2011,,16:30,1049 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,22 22 GEN VAL,03/08/2011 12:00:00 AM +0000,03/29/2011 12:00:00 AM +0000, ,,"(37.7800645403, -122.409753474)"
3444,790915963,2/9/2011,,16:16,584 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,02/12/2011 12:00:00 AM +0000,03/05/2011 12:00:00 AM +0000, ,,"(37.786833145, -122.412947642)"
3445,790915974,2/9/2011,,16:15,370 GEARY ST,T32A.1,TWAWY ZN#1,85,Closed, $                  -,0,731 731MP EXP,02/21/2011 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7872845633, -122.409409136)"
3446,790915985,2/9/2011,,16:17,766 GEARY ST,T32A.2,TWAWY ZONE,75,Closed,$135.00 ,0,22 22 GEN VAL,03/30/2011 12:00:00 AM +0000,04/20/2011 12:00:00 AM +0000, ,,"(37.7864535243, -122.41592267)"
3447,790915996,2/9/2011,,12:36,454 GEARY ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,730 730TRNLN,02/12/2011 12:00:00 AM +0000,03/05/2011 12:00:00 AM +0000, ,,"(37.7871070651, -122.410800584)"
3448,790916000,2/9/2011,,12:38,946 GEARY ST,V22500H,DBL PARK,80,Closed,$140.00 ,0,730 730TRNLN,02/12/2011 12:00:00 AM +0000,03/05/2011 12:00:00 AM +0000,26 COLFFDMV,,"(37.7860756634, -122.41889272)"
3449,790916011,2/9/2011,,08:51,671 GEARY ST,T32A.2,TWAWY ZONE,75,Closed,$75.00 ,0,730 730TRNLN,02/12/2011 12:00:00 AM +0000,03/05/2011 12:00:00 AM +0000, ,,"(37.7865196055, -122.41431493)"
3450,790916125,2/10/2011,,10:11,1031 POST ST,V22500H,DBL PARK,80,Closed, $                  -,0,731 731MP EXP,02/22/2011 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7869081854, -122.418797047)"
3451,790916136,2/10/2011,,11:27,635 POST ST,V22500H,DBL PARK,80,Closed,$80.00 ,0, ,,, ,,"(37.7877203894, -122.412399339)"
3452,790916140,2/10/2011,,11:40,544 SUTTER ST,V22500H,DBL PARK,80,Closed,$80.00 ,0, ,,, ,,"(37.7892037051, -122.409366635)"
3454,790916162,2/10/2011,,15:49,866 SUTTER ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,730 730TRNLN,02/15/2011 12:00:00 AM +0000,03/08/2011 12:00:00 AM +0000, ,,"(37.7885314596, -122.414658393)"
3455,790916173,2/10/2011,,17:15,1006 SUTTER ST,V22500I,BUS ZONE,255,Closed,$255.00 ,0,730 730TRNLN,02/15/2011 12:00:00 AM +0000,03/08/2011 12:00:00 AM +0000, ,,"(37.7882320253, -122.416997677)"
3456,790916195,2/10/2011,,07:55,506 SUTTER ST,V22500I,BUS ZONE,255,Closed,$255.00 ,0,730 730TRNLN,02/15/2011 12:00:00 AM +0000,03/08/2011 12:00:00 AM +0000, ,,"(37.7892799831, -122.408766174)"
3457,790916206,2/10/2011,,08:45,904 POST ST,V22500I,BUS ZONE,255,Closed,$255.00 ,0,730 730TRNLN,02/15/2011 12:00:00 AM +0000,03/08/2011 12:00:00 AM +0000, ,,"(37.7873081801, -122.416742137)"
3458,790916210,2/10/2011,,09:10,1004 SUTTER ST,V22500I,BUS ZONE,255,Closed,$280.00 ,0,730 730TRNLN,02/15/2011 12:00:00 AM +0000,03/08/2011 12:00:00 AM +0000, ,,"(37.7882360843, -122.416966256)"
3459,790963095,2/10/2011,,08:47,671 O'FARRELL ST,T32A.2,TWAWY ZONE,75,Closed,$75.00 ,0,730 730TRNLN,02/15/2011 12:00:00 AM +0000,03/08/2011 12:00:00 AM +0000, ,,"(37.7853722813, -122.415788329)"
3460,790963121,2/10/2011,,08:47,523 O'FARRELL ST,T32A.2,TWAWY ZONE,75,Closed,$135.00 ,0,730 730TRNLN,02/15/2011 12:00:00 AM +0000,03/08/2011 12:00:00 AM +0000, ,,"(37.7856767493, -122.413366449)"
3461,790963132,2/10/2011,,08:48,405 O'FARRELL ST,T32A.1,TWAWY ZN#1,85,Open, $                  -,185,6 6 EXP TIME,04/25/2011 12:00:00 AM +0000,04/25/2011 12:00:00 AM +0000, ,,"(37.7859217728, -122.411417115)"
3462,794817774,3/31/2011,,15:09,531 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,04/05/2011 12:00:00 AM +0000,04/26/2011 12:00:00 AM +0000, ,,"(37.789035471, -122.398392266)"
3463,794817785,3/31/2011,,15:09,515 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,04/05/2011 12:00:00 AM +0000,04/26/2011 12:00:00 AM +0000, ,,"(37.7892733639, -122.398090931)"
3464,794817796,3/31/2011,,17:05,1275 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$145.00 ,0,730 730TRNLN,04/05/2011 12:00:00 AM +0000,04/26/2011 12:00:00 AM +0000, ,,"(37.7764253298, -122.414361158)"
3465,794817800,3/31/2011,,17:05,1249 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$145.00 ,0,730 730TRNLN,04/05/2011 12:00:00 AM +0000,04/26/2011 12:00:00 AM +0000, ,,"(37.7766864052, -122.414030628)"
3466,794817811,3/31/2011,,17:05,1243 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,04/05/2011 12:00:00 AM +0000,04/26/2011 12:00:00 AM +0000, ,,"(37.7767744992, -122.413919098)"
3467,794817833,3/31/2011,,17:05,1213 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$145.00 ,0,730 730TRNLN,04/05/2011 12:00:00 AM +0000,04/26/2011 12:00:00 AM +0000, ,,"(37.7772149664, -122.413361439)"
3468,794817844,3/31/2011,,17:42,810 MISSION ST,T32A.1,TWAWY ZN#1,85,Closed,$85.00 ,0,730 730TRNLN,04/05/2011 12:00:00 AM +0000,04/26/2011 12:00:00 AM +0000, ,,"(37.7843123196, -122.404619716)"
3469,790965313,4/1/2011,,17:48,428 GEARY ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,730 730TRNLN,04/05/2011 12:00:00 AM +0000,04/26/2011 12:00:00 AM +0000, ,,"(37.7871592962, -122.410391151)"
3470,790965350,4/1/2011,,19:42,914 GEARY ST,V22500I,BUS ZONE,255,Open, $                  -,355,121 121 OFFCAL,01/18/2012 12:00:00 AM +0000,01/18/2012 12:00:00 AM +0000, ,,"(37.7861395486, -122.418386075)"
3471,790965361,4/1/2011,,19:02,959 O'FARRELL ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,15 15 DBL PRK,12/04/2011 12:00:00 AM +0000,12/25/2011 12:00:00 AM +0000, ,,"(37.7847760821, -122.420512123)"
3472,794817855,4/1/2011,,09:48,274 SUTTER ST,T32A.1,TWAWY ZN#1,85,Open, $                  -,175,730 730TRNLN,04/06/2011 12:00:00 AM +0000,04/27/2011 12:00:00 AM +0000, ,,"(37.7897504183, -122.405062326)"
3473,794817866,4/1/2011,,09:41,450 SUTTER ST,V22500H,DBL PARK,80,Closed,$80.00 ,0,730 730TRNLN,04/06/2011 12:00:00 AM +0000,04/27/2011 12:00:00 AM +0000, ,,"(37.789400345, -122.407818626)"
3474,794817870,4/1/2011,,09:41,446 SUTTER ST,V22500H,DBL PARK,80,Closed,$140.00 ,0,730 730TRNLN,04/12/2011 12:00:00 AM +0000,05/03/2011 12:00:00 AM +0000, ,,"(37.7894083284, -122.407755778)"
